Type,pro-reg,protein,regionStart,regionEnd,avg_fuzzy_ox_k,avg_fuzzy_ox_p,avg_fuzzy_ox_m,avg_fuzzy_d,avg_fuzzy_gal,avg_fuzzy_gluc,avg_jumbo_ox_k,avg_jumbo_ox_p,avg_jumbo_ox_m,avg_jumbo_d,avg_jumbo_gal,avg_jumbo_gluc,fuzzy_ox_k,fuzzy_ox_p,fuzzy_ox_m,fuzzy_d,fuzzy_gal,fuzzy_gluc,jumbo_ox_k,jumbo_ox_p,jumbo_ox_m,jumbo_d,jumbo_gal,jumbo_gluc,ox_k_MWU_sig,ox_k_MWU_sig_p,ox_p_MWU_sig,ox_p_MWU_sig_p,ox_m_MWU_sig,ox_m_MWU_sig_p,d_nq_MWU_sig,d_nq_MWU_sig_p,gala_k_MWU_sig,gluc_k_MWU_sig_p,ox_k_WC_sig,ox_k_WC_sig_p,ox_p_WC_sig,ox_p_WC_sig_p,ox_m_WC_sig,ox_m_WC_sig_p,d_nq_WC_sig,d_nq_WC_sig_p,gala_k_WC_sig,gala_k_WC_sig_p,glu_k_WC_sig,glu_k_WC_sig_p
sig,CO2A11150-1200,CO2A1,1150,1200,3,1,2,0,0,0,2,1,1,0,0,0,"[2, 2, 4]","[2, 0, 0]","[2, 1, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 3]","[0, 1, 1]","[0, 1, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",7.0,0.36868826936178156,4.0,1.0,5.5,1.0,4.5,1.0,4.5,1.0,1.091089451179962,0.27523352407483426,-0.2182178902359924,0.8272593465627113,0.4364357804719848,0.6625205835400574,0.0,1.0,0.0,1.0,0.0,1.0
surr,CO2A11100-1250 +-50,CO2A1,1100,1250,4,6,5,6,0,0,3,6,4,8,0,0,"[4, 3, 5]","[9, 3, 7]","[8, 1, 5]","[6, 3, 9]","[0, 0, 0]","[0, 0, 0]","[3, 2, 4]","[4, 6, 7]","[2, 4, 7]","[6, 8, 10]","[0, 0, 0]","[0, 0, 0]",7.0,0.36868826936178156,5.5,0.8247780950825133,5.0,0.8247780950825133,2.5,0.5065551690490403,4.5,1.0,1.091089451179962,0.27523352407483426,0.4364357804719848,0.6625205835400574,0.2182178902359924,0.8272593465627113,-0.8728715609439696,0.38273308888522595,0.0,1.0,0.0,1.0
sig,CO2A11200-1250,CO2A1,1200,1250,1,1,2,2,0,0,1,1,2,3,0,0,"[2, 1, 1]","[1, 0, 1]","[3, 0, 3]","[2, 0, 3]","[0, 0, 0]","[0, 0, 0]","[2, 1, 1]","[0, 1, 1]","[2, 3, 1]","[2, 3, 3]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,4.5,1.0,5.0,1.0,2.5,0.47950012218695337,4.5,1.0,0.0,1.0,0.0,1.0,0.2182178902359924,0.8272593465627113,-0.8728715609439696,0.38273308888522595,0.0,1.0,0.0,1.0
surr,CO2A11150-1300 +-50,CO2A1,1150,1300,5,2,4,5,0,0,4,1,4,8,0,0,"[4, 4, 6]","[3, 1, 1]","[5, 2, 6]","[5, 3, 8]","[0, 0, 0]","[0, 0, 0]","[4, 2, 5]","[0, 2, 2]","[4, 4, 4]","[6, 9, 9]","[0, 0, 0]","[0, 0, 0]",6.0,0.6428348264908044,5.0,1.0,6.0,1.0,1.0,0.1840386271964254,4.5,1.0,0.6546536707079772,0.5126907602619233,0.2182178902359924,0.8272593465627113,0.6546536707079772,0.5126907602619233,-1.5275252316519468,0.12663045794761718,0.0,1.0,0.0,1.0
sig,CO2A11300-1350,CO2A1,1300,1350,0,0,0,3,0,0,0,0,0,2,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 4, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 0, 4]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,4.5,1.0,4.5,1.0,6.5,0.47950012218695337,4.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8728715609439696,0.38273308888522595,0.0,1.0,0.0,1.0
surr,CO2A11250-1400 +-50,CO2A1,1250,1400,0,0,8,7,0,0,0,0,6,9,0,0,"[0, 0, 1]","[0, 0, 0]","[9, 8, 6]","[6, 7, 7]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[6, 5, 6]","[9, 6, 12]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,4.5,1.0,8.0,1.0,2.5,0.5001842570707944,4.5,1.0,0.0,1.0,0.0,1.0,1.5275252316519468,0.12663045794761718,-0.8728715609439696,0.38273308888522595,0.0,1.0,0.0,1.0
sig,CO2A11350-1400,CO2A1,1350,1400,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,4.5,1.0,4.5,1.0,3.0,0.5049850750938458,4.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.6546536707079772,0.5126907602619233,0.0,1.0,0.0,1.0
surr,CO2A11300-1450 +-50,CO2A1,1300,1450,0,0,8,7,0,0,0,0,6,8,0,0,"[0, 0, 0]","[0, 0, 0]","[9, 8, 6]","[6, 7, 7]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[6, 5, 6]","[9, 5, 11]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,4.5,1.0,8.0,1.0,3.0,0.6579050194284821,4.5,1.0,0.0,1.0,0.0,1.0,1.5275252316519468,0.12663045794761718,-0.6546536707079772,0.5126907602619233,0.0,1.0,0.0,1.0
sig,COBA1500-550,COBA1,500,550,0,1,0,0,0,0,0,1,1,0,0,0,"[0, 0, 0]","[0, 0, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[2, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",3.0,0.5049850750938458,4.5,1.0,3.0,1.0,4.5,1.0,4.5,1.0,-0.6546536707079772,0.5126907602619233,0.0,1.0,-0.6546536707079772,0.5126907602619233,0.0,1.0,0.0,1.0,0.0,1.0
surr,COBA1450-600 +-50,COBA1,450,600,1,4,1,1,1,0,3,7,3,2,0,0,"[1, 2, 1]","[2, 3, 8]","[1, 2, 1]","[1, 2, 1]","[0, 0, 0]","[0, 0, 0]","[3, 5, 1]","[7, 7, 7]","[4, 2, 3]","[2, 2, 2]","[0, 0, 0]","[0, 0, 0]",2.0,0.3536785173184648,3.0,0.6428348264908044,0.5,0.6428348264908044,1.5,0.18763232999488433,4.5,1.0,-1.091089451179962,0.27523352407483426,-0.6546536707079772,0.5126907602619233,-1.7457431218879391,0.08085559837005224,-1.3093073414159544,0.19043026382552397,0.0,1.0,0.0,1.0
sig,COBA1950-1000,COBA1,950,1000,0,3,0,0,0,0,0,6,0,2,0,0,"[0, 0, 0]","[4, 1, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[7, 4, 6]","[0, 0, 0]","[2, 0, 3]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,1.0,0.16415972847851523,4.5,0.16415972847851523,1.5,0.19670560245894686,4.5,1.0,0.0,1.0,-1.5275252316519468,0.12663045794761718,0.0,1.0,-1.3093073414159544,0.19043026382552397,0.0,1.0,0.0,1.0
surr,COBA1900-1050 +-50,COBA1,900,1050,5,14,0,1,0,1,3,16,0,2,0,1,"[4, 8, 4]","[17, 12, 13]","[0, 0, 0]","[3, 0, 1]","[0, 0, 0]","[0, 0, 0]","[2, 3, 3]","[16, 16, 15]","[0, 0, 0]","[2, 1, 4]","[0, 0, 0]","[0, 0, 0]",9.0,0.07219819770165753,3.0,0.6579050194284821,4.5,0.6579050194284821,2.5,0.5065551690490403,4.5,1.0,1.9639610121239315,0.049534613435626706,-0.6546536707079772,0.5126907602619233,0.0,1.0,-0.8728715609439696,0.38273308888522595,0.0,1.0,0.0,1.0
sig,COBA11350-1400,COBA1,1350,1400,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",3.0,0.5049850750938458,3.0,0.5049850750938458,4.5,0.5049850750938458,4.5,1.0,4.5,1.0,-0.6546536707079772,0.5126907602619233,-0.6546536707079772,0.5126907602619233,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
surr,COBA11300-1450 +-50,COBA1,1300,1450,2,7,0,2,0,0,0,3,0,0,0,0,"[3, 2, 2]","[7, 5, 8]","[0, 0, 0]","[3, 1, 3]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[3, 4, 3]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]",9.0,0.07219819770165753,9.0,0.07652250047505922,4.5,0.07652250047505922,8.5,0.11014892418594699,4.5,1.0,1.9639610121239315,0.049534613435626706,1.9639610121239315,0.049534613435626706,0.0,1.0,1.7457431218879391,0.08085559837005224,0.0,1.0,0.0,1.0
sig,COBA11400-1450,COBA1,1400,1450,1,1,0,1,0,0,0,0,0,0,0,0,"[1, 1, 1]","[1, 1, 2]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",9.0,0.04685417760387376,9.0,0.05934643879191985,4.5,0.05934643879191985,9.0,0.04685417760387376,4.5,1.0,1.9639610121239315,0.049534613435626706,1.9639610121239315,0.049534613435626706,0.0,1.0,1.9639610121239315,0.049534613435626706,0.0,1.0,0.0,1.0
surr,COBA11350-1500 +-50,COBA1,1350,1500,2,6,0,2,0,0,0,3,0,0,0,0,"[2, 2, 1]","[5, 5, 7]","[0, 0, 0]","[2, 1, 2]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[3, 4, 2]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]",8.5,0.11014892418594699,9.0,0.07652250047505922,4.5,0.07652250047505922,8.5,0.11014892418594699,4.5,1.0,1.7457431218879391,0.08085559837005224,1.9639610121239315,0.049534613435626706,0.0,1.0,1.7457431218879391,0.08085559837005224,0.0,1.0,0.0,1.0
sig,OSTP0-50,OSTP,0,50,2,2,3,10,0,0,0,1,0,0,0,0,"[4, 0, 3]","[3, 2, 1]","[3, 0, 6]","[14, 3, 12]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 2]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]",7.0,0.3536785173184648,7.5,0.26115455974183277,7.5,0.26115455974183277,9.0,0.07652250047505922,4.5,1.0,1.091089451179962,0.27523352407483426,1.3093073414159544,0.19043026382552397,1.3093073414159544,0.19043026382552397,1.9639610121239315,0.049534613435626706,0.0,1.0,0.0,1.0
surr,OSTP-50-100 +-50,OSTP,-50,100,2,2,0,2,0,0,0,0,0,0,0,0,"[4, 0, 3]","[3, 1, 1]","[0, 0, 0]","[4, 0, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",7.0,0.3536785173184648,8.0,0.15729920705028502,4.5,0.15729920705028502,7.5,0.19670560245894686,4.5,1.0,1.091089451179962,0.27523352407483426,1.5275252316519468,0.12663045794761718,0.0,1.0,1.3093073414159544,0.19043026382552397,0.0,1.0,0.0,1.0
sig,APOE200-250,APOE,200,250,0,0,0,3,0,0,0,0,1,1,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 2, 5]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 0, 1]","[1, 1, 2]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,4.5,1.0,1.5,1.0,8.0,0.15729920705028502,4.5,1.0,0.0,1.0,0.0,1.0,-1.3093073414159544,0.19043026382552397,1.5275252316519468,0.12663045794761718,0.0,1.0,0.0,1.0
surr,APOE150-300 +-50,APOE,150,300,1,1,4,4,0,0,2,2,7,5,0,0,"[1, 3, 0]","[1, 1, 0]","[4, 3, 5]","[2, 4, 7]","[0, 0, 0]","[0, 0, 0]","[2, 2, 2]","[2, 2, 2]","[5, 5, 12]","[5, 3, 7]","[0, 0, 0]","[0, 0, 0]",3.0,0.6428348264908044,0.0,0.05934643879191985,1.0,0.05934643879191985,3.5,0.8247780950825133,4.5,1.0,-0.6546536707079772,0.5126907602619233,-1.9639610121239315,0.049534613435626706,-1.5275252316519468,0.12663045794761718,-0.4364357804719848,0.6625205835400574,0.0,1.0,0.0,1.0
sig,APOE250-300,APOE,250,300,1,1,4,1,0,0,2,2,6,3,0,0,"[1, 2, 0]","[1, 1, 0]","[4, 3, 5]","[0, 1, 2]","[0, 0, 0]","[0, 0, 0]","[2, 2, 2]","[2, 2, 2]","[4, 5, 10]","[3, 2, 3]","[0, 0, 0]","[0, 0, 0]",1.5,0.19670560245894686,0.0,0.05934643879191985,2.0,0.05934643879191985,0.5,0.11568802229950938,4.5,1.0,-1.3093073414159544,0.19043026382552397,-1.9639610121239315,0.049534613435626706,-1.091089451179962,0.27523352407483426,-1.7457431218879391,0.08085559837005224,0.0,1.0,0.0,1.0
surr,APOE200-350 +-50,APOE,200,350,1,1,4,4,0,0,2,2,7,4,0,0,"[1, 2, 0]","[1, 1, 0]","[4, 3, 5]","[2, 3, 7]","[0, 0, 0]","[0, 0, 0]","[2, 2, 2]","[2, 2, 2]","[5, 5, 11]","[5, 3, 5]","[0, 0, 0]","[0, 0, 0]",1.5,0.19670560245894686,0.0,0.05934643879191985,1.0,0.05934643879191985,3.5,0.8221867672380183,4.5,1.0,-1.3093073414159544,0.19043026382552397,-1.9639610121239315,0.049534613435626706,-1.5275252316519468,0.12663045794761718,-0.4364357804719848,0.6625205835400574,0.0,1.0,0.0,1.0
sig,COMP600-650,COMP,600,650,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,4.5,1.0,4.5,1.0,4.5,1.0,4.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
surr,COMP550-700 +-50,COMP,550,700,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,4.5,1.0,4.5,1.0,4.5,1.0,4.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
sig,LUM150-200,LUM,150,200,0,0,0,0,0,0,1,0,0,0,0,0,"[1, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 0]","[0, 0, 0]","[1, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",4.0,1.0,4.5,1.0,4.5,1.0,4.5,1.0,4.5,1.0,-0.2182178902359924,0.8272593465627113,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
surr,LUM100-250 +-50,LUM,100,250,0,0,0,1,0,0,1,0,0,2,0,0,"[1, 0, 0]","[0, 0, 0]","[0, 0, 1]","[1, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 2, 0]","[0, 0, 0]","[1, 0, 0]","[1, 2, 4]","[0, 0, 0]","[0, 0, 0]",4.0,1.0,4.5,1.0,4.5,1.0,1.0,0.16415972847851523,4.5,1.0,-0.2182178902359924,0.8272593465627113,0.0,1.0,0.0,1.0,-1.5275252316519468,0.12663045794761718,0.0,1.0,0.0,1.0
